strategy,part,rows,share,gini
round_robin,0,249133,0.250001,1.0034820827620194e-06
round_robin,1,249133,0.250001,1.0034820827620194e-06
round_robin,2,249132,0.249999,1.0034820827620194e-06
round_robin,3,249132,0.249999,1.0034820827620194e-06
hash_user,0,242600,0.243445,0.018262872166417532
hash_user,1,242636,0.243481,0.018262872166417532
hash_user,2,245324,0.246178,0.018262872166417532
hash_user,3,265970,0.266896,0.018262872166417532
range_pop,0,51790,0.05197,0.5616554443920404
range_pop,1,55001,0.055193,0.5616554443920404
range_pop,2,110010,0.110393,0.5616554443920404
range_pop,3,779729,0.782444,0.5616554443920404
group_book,0,878031,0.881088,0.6333667827360943
group_book,1,41851,0.041997,0.6333667827360943
group_book,2,37310,0.03744,0.6333667827360943
group_book,3,39338,0.039475,0.6333667827360943
