strategy,P,workload,partitions_touched,rows_scanned,rows_matched,latency_ms
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,19,19,0.00095
hash_user,4,W1,1,14,14,0.0007000000000000001
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,12,12,0.0006000000000000001
hash_user,4,W1,1,16,16,0.0008
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,45,45,0.00225
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,19,19,0.00095
hash_user,4,W1,1,17,17,0.0008500000000000001
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,12,12,0.0006000000000000001
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,26,26,0.0013
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,22,22,0.0011
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,16,16,0.0008
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,17,17,0.0008500000000000001
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,20,20,0.001
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,26,26,0.0013
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,42,42,0.0021000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,14,14,0.0007000000000000001
hash_user,4,W1,1,19,19,0.00095
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,15,15,0.00075
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,28,28,0.0014000000000000002
hash_user,4,W1,1,15,15,0.00075
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,20,20,0.001
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,31,31,0.0015500000000000002
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,15,15,0.00075
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,14,14,0.0007000000000000001
hash_user,4,W1,1,16,16,0.0008
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,44,44,0.0022
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,12,12,0.0006000000000000001
hash_user,4,W1,1,19,19,0.00095
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,36,36,0.0018
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,20,20,0.001
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,15,15,0.00075
hash_user,4,W1,1,14,14,0.0007000000000000001
hash_user,4,W1,1,14,14,0.0007000000000000001
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,15,15,0.00075
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,23,23,0.00115
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,17,17,0.0008500000000000001
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,67,67,0.0033500000000000005
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,8,8,0.0004
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,26,26,0.0013
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,11,11,0.00055
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,7,7,0.00035000000000000005
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,56,56,0.0028000000000000004
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,18,18,0.0009
hash_user,4,W1,1,129,129,0.006450000000000001
hash_user,4,W1,1,5,5,0.00025
hash_user,4,W1,1,10,10,0.0005
hash_user,4,W1,1,6,6,0.00030000000000000003
hash_user,4,W1,1,13,13,0.00065
hash_user,4,W1,1,9,9,0.00045
hash_user,4,W1,1,9,9,0.00045
