strategy,P,workload,partitions_touched,rows_scanned,rows_matched,latency_ms
range_pop,4,W2,1,102908,102908,5.1454
range_pop,4,W2,1,103438,103438,5.171900000000001
range_pop,4,W2,1,100731,100731,5.03655
range_pop,4,W2,1,101919,101919,5.09595
range_pop,4,W2,2,109114,109114,7.4557
range_pop,4,W2,2,109114,109114,7.4557
range_pop,4,W2,2,108324,108324,7.4162
range_pop,4,W2,1,104705,104705,5.235250000000001
range_pop,4,W2,1,100903,100903,5.0451500000000005
range_pop,4,W2,1,102180,102180,5.109000000000001
range_pop,4,W2,3,121821,121821,10.09105
range_pop,4,W2,1,104405,104405,5.22025
range_pop,4,W2,1,100544,100544,5.027200000000001
range_pop,4,W2,2,109199,109199,7.45995
range_pop,4,W2,2,103654,103654,7.1827000000000005
range_pop,4,W2,2,110566,110566,7.528300000000001
range_pop,4,W2,1,103040,103040,5.152000000000001
range_pop,4,W2,1,100775,100775,5.03875
range_pop,4,W2,1,101554,101554,5.0777
range_pop,4,W2,1,103478,103478,5.1739
range_pop,4,W2,1,102131,102131,5.10655
range_pop,4,W2,2,109276,109276,7.4638
range_pop,4,W2,1,106026,106026,5.3013
range_pop,4,W2,1,102508,102508,5.1254
range_pop,4,W2,1,101830,101830,5.0915
range_pop,4,W2,1,100046,100046,5.002300000000001
range_pop,4,W2,2,110416,110416,7.5208
range_pop,4,W2,1,100748,100748,5.037400000000001
range_pop,4,W2,1,100006,100006,5.0003
range_pop,4,W2,3,120134,120134,10.0067
range_pop,4,W2,1,100739,100739,5.036950000000001
range_pop,4,W2,2,109192,109192,7.4596
range_pop,4,W2,2,108324,108324,7.4162
range_pop,4,W2,1,101601,101601,5.08005
range_pop,4,W2,1,102730,102730,5.136500000000001
range_pop,4,W2,1,104691,104691,5.2345500000000005
range_pop,4,W2,1,103040,103040,5.152000000000001
range_pop,4,W2,2,118253,118253,7.91265
range_pop,4,W2,1,100463,100463,5.02315
range_pop,4,W2,1,100537,100537,5.0268500000000005
range_pop,4,W2,1,102505,102505,5.12525
range_pop,4,W2,1,101143,101143,5.05715
range_pop,4,W2,3,107762,107762,9.388100000000001
range_pop,4,W2,1,100477,100477,5.02385
range_pop,4,W2,1,102828,102828,5.141400000000001
range_pop,4,W2,1,101084,101084,5.054200000000001
range_pop,4,W2,1,104131,104131,5.20655
range_pop,4,W2,1,101146,101146,5.057300000000001
range_pop,4,W2,1,102480,102480,5.1240000000000006
range_pop,4,W2,2,110566,110566,7.528300000000001
range_pop,4,W2,1,104405,104405,5.22025
range_pop,4,W2,1,102047,102047,5.10235
range_pop,4,W2,1,109906,109906,5.4953
range_pop,4,W2,1,101204,101204,5.0602
range_pop,4,W2,1,102927,102927,5.146350000000001
range_pop,4,W2,1,104370,104370,5.218500000000001
range_pop,4,W2,2,108573,108573,7.42865
range_pop,4,W2,2,105428,105428,7.2714
range_pop,4,W2,3,120134,120134,10.0067
range_pop,4,W2,1,101772,101772,5.0886000000000005
range_pop,4,W2,1,102797,102797,5.13985
range_pop,4,W2,1,107302,107302,5.365100000000001
range_pop,4,W2,1,101304,101304,5.065200000000001
range_pop,4,W2,1,104132,104132,5.206600000000001
range_pop,4,W2,1,103000,103000,5.15
range_pop,4,W2,1,100827,100827,5.04135
range_pop,4,W2,2,109276,109276,7.4638
range_pop,4,W2,1,103740,103740,5.187
